,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt
0,0,0,The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.,food,neutral,positive,prompt_3_zeroshot_single_term,"The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.

    What is the sentiment on 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
1,0,1,The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.,served,positive,positive,prompt_3_zeroshot_single_term,"The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.

    What is the sentiment on 'served'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
2,0,2,The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.,appetizers,positive,positive,prompt_3_zeroshot_single_term,"The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.

    What is the sentiment on 'appetizers'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
3,1,3,"When I got home, there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine.",owner,neutral,neutral,prompt_3_zeroshot_single_term,"When I got home, there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine.

    What is the sentiment on 'owner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
4,1,4,"When I got home, there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine.",waitress,negative,neutral,prompt_3_zeroshot_single_term,"When I got home, there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine.

    What is the sentiment on 'waitress'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
5,1,5,"When I got home, there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine.",wine,neutral,neutral,prompt_3_zeroshot_single_term,"When I got home, there was a message on the machine because the owner realized that our waitress forgot to charge us for our wine.

    What is the sentiment on 'wine'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
6,2,6,"The Scene Shun Lee Palace is popular with midtown locals, possibly because the upscale room means you can impress a client and have Chinese for lunch at the same time.",Scene,positive,positive,prompt_3_zeroshot_single_term,"The Scene Shun Lee Palace is popular with midtown locals, possibly because the upscale room means you can impress a client and have Chinese for lunch at the same time.

    What is the sentiment on 'Scene'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
7,2,7,"The Scene Shun Lee Palace is popular with midtown locals, possibly because the upscale room means you can impress a client and have Chinese for lunch at the same time.",lunch,neutral,neutral,prompt_3_zeroshot_single_term,"The Scene Shun Lee Palace is popular with midtown locals, possibly because the upscale room means you can impress a client and have Chinese for lunch at the same time.

    What is the sentiment on 'lunch'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
8,3,8,"To both our surprise, this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she didnt want the pastries.",waiter,negative,negative,prompt_3_zeroshot_single_term,"To both our surprise, this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she didnt want the pastries.

    What is the sentiment on 'waiter'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
9,3,9,"To both our surprise, this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she didnt want the pastries.",pastries,neutral,negative,prompt_3_zeroshot_single_term,"To both our surprise, this inquiry was interpreted as a personal offense by the waiter who told my wife to leave the store if she didnt want the pastries.

    What is the sentiment on 'pastries'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
