,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt
0,0,0,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",desserts,positive,positive,prompt_3_zeroshot_single_term,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.

    What is the sentiment on 'desserts'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
1,0,1,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",dulce de leche ice-cream,neutral,positive,prompt_3_zeroshot_single_term,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.

    What is the sentiment on 'dulce de leche ice-cream'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
2,0,2,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",chocolate sauce tic-tac-toe,neutral,neutral,prompt_3_zeroshot_single_term,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.

    What is the sentiment on 'chocolate sauce tic-tac-toe'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
3,0,3,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",poached pineapple,neutral,neutral,prompt_3_zeroshot_single_term,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.

    What is the sentiment on 'poached pineapple'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
4,1,4,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,negative,prompt_3_zeroshot_single_term,"The server was so busy the night we visited that she forgot to put in our food order.

    What is the sentiment on 'server'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
5,1,5,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,negative,prompt_3_zeroshot_single_term,"The server was so busy the night we visited that she forgot to put in our food order.

    What is the sentiment on 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
6,2,6,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",dinner,neutral,positive,prompt_3_zeroshot_single_term,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.

    What is the sentiment on 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
7,2,7,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",scene,positive,neutral,prompt_3_zeroshot_single_term,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.

    What is the sentiment on 'scene'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,neutral,prompt_3_zeroshot_single_term,"My boyfriend and I went one Friday night to find that the place was empty except for one other table.

    What is the sentiment on 'place'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
9,3,9,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,table,neutral,neutral,prompt_3_zeroshot_single_term,"My boyfriend and I went one Friday night to find that the place was empty except for one other table.

    What is the sentiment on 'table'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
10,4,10,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",pizza crust,negative,negative,prompt_3_zeroshot_single_term,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.

    What is the sentiment on 'pizza crust'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
11,4,11,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",cheese,positive,positive,prompt_3_zeroshot_single_term,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.

    What is the sentiment on 'cheese'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
12,4,12,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",sauce,positive,neutral,prompt_3_zeroshot_single_term,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.

    What is the sentiment on 'sauce'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
13,5,13,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",waiter,negative,negative,prompt_3_zeroshot_single_term,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.

    What is the sentiment on 'waiter'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
14,5,14,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",menu,neutral,negative,prompt_3_zeroshot_single_term,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.

    What is the sentiment on 'menu'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
15,5,15,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",food,neutral,negative,prompt_3_zeroshot_single_term,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.

    What is the sentiment on 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
16,6,16,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,eggplant parmasean,positive,positive,prompt_3_zeroshot_single_term,"The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).

    What is the sentiment on 'eggplant parmasean'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
17,6,17,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,main course,neutral,neutral,prompt_3_zeroshot_single_term,"The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).

    What is the sentiment on 'main course'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
18,6,18,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,shrimp with pasta,neutral,neutral,prompt_3_zeroshot_single_term,"The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).

    What is the sentiment on 'shrimp with pasta'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
19,7,19,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.",wait,negative,positive,prompt_3_zeroshot_single_term,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.

    What is the sentiment on 'wait'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
20,7,20,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.",food,positive,positive,prompt_3_zeroshot_single_term,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.

    What is the sentiment on 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
21,7,21,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.",service,positive,positive,prompt_3_zeroshot_single_term,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.

    What is the sentiment on 'service'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
22,8,22,The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.,prices,positive,neutral,prompt_3_zeroshot_single_term,"The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.

    What is the sentiment on 'prices'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
23,8,23,The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.,dinner,neutral,positive,prompt_3_zeroshot_single_term,"The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.

    What is the sentiment on 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
24,8,24,The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.,tip,neutral,neutral,prompt_3_zeroshot_single_term,"The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.

    What is the sentiment on 'tip'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
25,9,25,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.",fried catfish,negative,neutral,prompt_3_zeroshot_single_term,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.

    What is the sentiment on 'fried catfish'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
26,9,26,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.",seasoning,negative,negative,prompt_3_zeroshot_single_term,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.

    What is the sentiment on 'seasoning'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
