,Unnamed: 0,text_id,term_id,text,term,polarity,example1_term_id,example1_prompt,example2_term_id,example2_prompt,example3_term_id,example3_prompt,polarity_pred,prompt_name,prompt
0,0,0,0,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",desserts,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",positive,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
1,1,0,1,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",dulce de leche ice-cream,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",positive,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
2,2,0,2,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",chocolate sauce tic-tac-toe,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",positive,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
3,3,0,3,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",poached pineapple,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",positive,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
4,4,1,4,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",negative,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: The server was so busy the night we visited that she forgot to put in our food order.
Terms: 
'server'
'food'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
5,5,1,5,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",negative,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: The server was so busy the night we visited that she forgot to put in our food order.
Terms: 
'server'
'food'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
6,6,2,6,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",dinner,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",neutral,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.
Terms: 
'dinner'
'scene'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
7,7,2,7,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",scene,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",positive,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.
Terms: 
'dinner'
'scene'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
8,8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",neutral,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: My boyfriend and I went one Friday night to find that the place was empty except for one other table.
Terms: 
'place'
'table'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
9,9,3,9,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,table,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}
",1,"Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}
",2,"Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}
",neutral,prompt_multi_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Terms: 
'decor'
'food'
'prices'

Output: {""term_sentiments"": [[""decor"", ""negative""], [""food"", ""positive""], [""prices"", ""positive""]]}


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Terms: 
'tables'
'manager'

Output: {""term_sentiments"": [[""tables"", ""neutral""], [""manager"", ""negative""]]}


Example 3
Input: ""Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.""
Terms: 
'menu'
'peanut butter roll'
'classics'
'sushi'

Output: {""term_sentiments"": [[""menu"", ""neutral""], [""peanut butter roll"", ""negative""], [""classics"", ""positive""], [""sushi"", ""positive""]]}

    
Task:
Input: My boyfriend and I went one Friday night to find that the place was empty except for one other table.
Terms: 
'place'
'table'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
