Unnamed: 0.1,Unnamed: 0,text_id,term_id,text,term,polarity,example1_term_id,example1_prompt,example1_sim_score,example2_term_id,example2_prompt,example2_sim_score,example3_term_id,example3_prompt,example3_sim_score,polarity_pred,prompt_name,prompt,error,structured_analysis,unstructured_analysis
426,426,161,426,"Had a party of 7 people for dinner here on a busy night for the restaurant, and our meal was excellent and served with extreme consistency (all appetizers and main courses were served at the right times, with none of the dishes served at the wrong temperature).",dinner,neutral,2979,"Input: ""Went here for a casual Sunday night dinner at 7:45pm; dinner was served at 10:15pm!""
Term: Sunday
Output: neutral
",0.2713839841359794,1027,"Input: ""The meal was improperly served.""
Term: meal
Output: neutral
",0.2751282055535501,692,"Input: ""The service wasn't good -- dumplings were served after we had almost finished the main courses, drinks had to be asked for three times, etc.""
Term: service
Output: negative
",0.2974959827460439,positive,prompt_single_term_fewshot,"Example 1:
Input: ""Went here for a casual Sunday night dinner at 7:45pm; dinner was served at 10:15pm!""
Term: Sunday
Output: neutral


Example 2:
Input: ""The meal was improperly served.""
Term: meal
Output: neutral


Example 3
Input: ""The service wasn't good -- dumplings were served after we had almost finished the main courses, drinks had to be asked for three times, etc.""
Term: service
Output: negative

    
Task:
Input: Had a party of 7 people for dinner here on a busy night for the restaurant, and our meal was excellent and served with extreme consistency (all appetizers and main courses were served at the right times, with none of the dishes served at the wrong temperature).
Prompt: What is the sentiment in the text towards 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""excellent"",""importance"":""0.40""},
{""adjective"":""extreme consistency"",""importance"":""0.30""},
{""adjective"":""served at the right times"",""importance"":""0.20""},
{""adjective"":""none of the dishes served at the wrong temperature"",""importance"":""0.10""}]","The prediction of ""positive"" sentiment towards the term ""dinner"" was influenced by phrases such as ""our meal was excellent"" and ""served with extreme consistency,"" along with specific details that all appetizers and main courses were served at the right times and temperatures. These phrases indicate a high level of satisfaction with the dinner experience, leading to a positive sentiment classification."
269,269,102,269,"about 10 minutes apart each, so we were all eating cold eggs by the time we got our food.",food,neutral,8605,"Input: ""The staff were all partying with each other at the bar, so even though we were the only ones there for food, it took 15 minutes to get menus.""
Term: staff
Output: negative
",0.258910398690463,6787,"Input: ""We got the cold appetizer sampler and the dish was FULL of food, all for $12.""
Term: dish
Output: neutral
",0.2769619567148,130,"Input: ""The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.""
Term: hostess
Output: positive
",0.2941382444193589,negative,prompt_single_term_fewshot,"Example 1:
Input: ""The staff were all partying with each other at the bar, so even though we were the only ones there for food, it took 15 minutes to get menus.""
Term: staff
Output: negative


Example 2:
Input: ""We got the cold appetizer sampler and the dish was FULL of food, all for $12.""
Term: dish
Output: neutral


Example 3
Input: ""The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.""
Term: hostess
Output: positive

    
Task:
Input: about 10 minutes apart each, so we were all eating cold eggs by the time we got our food.
Prompt: What is the sentiment in the text towards 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""cold eggs"",""importance"":""0.70""},
{""adjective"":""about 10 minutes apart each"",""importance"":""0.30""}]","The sentiment towards ""food"" is determined as negative based on the phrase ""eating cold eggs by the time we got our food."" The words ""cold eggs"" and the context of waiting imply a negative dining experience directly related to the food, indicating dissatisfaction with its temperature and possibly the waiting time, which directly affects the enjoyment of the meal."
30,30,10,30,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",sushi chef,positive,5289,"Input: ""Free edamame (nice perk) and we ordered four rolls between the two of us, and each of us had a drink.""
Term: edamame
Output: positive
",0.2511347312110343,2172,"Input: ""There are no vegetarian items on the menu, but when I requested that the chef make something meat-free for me, he came through with a dish just as delicious and pretty as those my friends were eating.""
Term: menu
Output: neutral
",0.2548289147213035,4606,"Input: ""Went to Chow Bar for dinner, I thought it was kind of pricey, but the food and the service was good - but it wasn't incredibly busy, so maybe they just had more free time to devote to us.""
Term: Chow Bar
Output: neutral
",0.2612151817829776,neutral,prompt_single_term_fewshot,"Example 1:
Input: ""Free edamame (nice perk) and we ordered four rolls between the two of us, and each of us had a drink.""
Term: edamame
Output: positive


Example 2:
Input: ""There are no vegetarian items on the menu, but when I requested that the chef make something meat-free for me, he came through with a dish just as delicious and pretty as those my friends were eating.""
Term: menu
Output: neutral


Example 3
Input: ""Went to Chow Bar for dinner, I thought it was kind of pricey, but the food and the service was good - but it wasn't incredibly busy, so maybe they just had more free time to devote to us.""
Term: Chow Bar
Output: neutral

    
Task:
Input: Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.
Prompt: What is the sentiment in the text towards 'sushi chef'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,[],"The prediction of ""neutral"" towards the term ""sushi chef"" is based on the absence of any direct positive or negative sentiment expressed towards the sushi chef themselves in the provided text. The text mentions receiving something from the sushi chef for free, which could imply a positive experience. However, the focus of the sentiment is on the overall quality of food being more important than receiving a free dish, rather than on the sushi chef's skills or service. The phrase ""Ok I got the edamame and something from the sushi chef for free"" does not inherently carry a positive or negative judgment towards the sushi chef, leading to a neutral sentiment classification."
378,378,144,378,"Aside from the fact the maitre de claimed the dining room was 'full', we were seated at a great table overlooking the lobby of the hotel and ordered the 5 course tasting menu.",maitre,neutral,10239,"Input: ""We had the tasting menu -- which was not a meal!!!""
Term: menu
Output: positive
",0.2268594108192242,671,"Input: ""Then we were led downstairs to the main room, and were seated at the huge communal dining room table.""
Term: seated
Output: neutral
",0.266909118980596,4778,"Input: ""5 hour meal (we ordered the tasting menu).""
Term: hour meal
Output: neutral
",0.2775641919676967,negative,prompt_single_term_fewshot,"Example 1:
Input: ""We had the tasting menu -- which was not a meal!!!""
Term: menu
Output: positive


Example 2:
Input: ""Then we were led downstairs to the main room, and were seated at the huge communal dining room table.""
Term: seated
Output: neutral


Example 3
Input: ""5 hour meal (we ordered the tasting menu).""
Term: hour meal
Output: neutral

    
Task:
Input: Aside from the fact the maitre de claimed the dining room was 'full', we were seated at a great table overlooking the lobby of the hotel and ordered the 5 course tasting menu.
Prompt: What is the sentiment in the text towards 'maitre'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""claimed the dining room was 'full'"",""importance"":""1.00""}]","The prediction was made based on the phrase ""claimed the dining room was 'full'."" This phrase suggests a negative sentiment towards the 'maitre de' because it implies doubt or dissatisfaction with the maitre de's assertion about the dining room's availability. The use of the word ""claimed"" can be interpreted as questioning the truthfulness or validity of the maitre de's statement, which influenced the decision towards a negative sentiment."
38,38,13,38,"We preferred to gaze at our burgers while avoiding having to look at the wait staff, but no complaints.",burgers,neutral,6351,"Input: ""staff is still working out their kinks and learning about the menu but no real complaints.""
Term: staff
Output: positive
",0.2420287254947167,3035,"Input: ""Ten minutes later: no burgers and no sign of our waiter.""
Term: burgers
Output: neutral
",0.2532141420255326,10328,"Input: ""We had to ask for water even after we were asked what type we preferred, and then the busboy spilled it while he was pouring it out.""
Term: water
Output: neutral
",0.2629974771373939,positive,prompt_single_term_fewshot,"Example 1:
Input: ""staff is still working out their kinks and learning about the menu but no real complaints.""
Term: staff
Output: positive


Example 2:
Input: ""Ten minutes later: no burgers and no sign of our waiter.""
Term: burgers
Output: neutral


Example 3
Input: ""We had to ask for water even after we were asked what type we preferred, and then the busboy spilled it while he was pouring it out.""
Term: water
Output: neutral

    
Task:
Input: We preferred to gaze at our burgers while avoiding having to look at the wait staff, but no complaints.
Prompt: What is the sentiment in the text towards 'burgers'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""preferred to gaze at"",""importance"":""1.0""}]","The prediction was made based on the phrase ""preferred to gaze at our burgers,"" which implies a positive sentiment towards the burgers. The act of gazing, especially in the context of preference, suggests admiration or enjoyment, leading to the classification of the sentiment as positive."
183,183,71,183,I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,price,negative,8386,"Input: ""The atmosphere was wonderful, however the service and food were not.""
Term: atmosphere
Output: positive
",0.256317652231423,6651,"Input: ""Although the wait staff was friendly, the atmosphere was not.""
Term: wait staff
Output: positive
",0.2832084841673315,5996,"Input: ""The food was good but not worth the price.""
Term: food
Output: positive
",0.3328101505708145,positive,prompt_single_term_fewshot,"Example 1:
Input: ""The atmosphere was wonderful, however the service and food were not.""
Term: atmosphere
Output: positive


Example 2:
Input: ""Although the wait staff was friendly, the atmosphere was not.""
Term: wait staff
Output: positive


Example 3
Input: ""The food was good but not worth the price.""
Term: food
Output: positive

    
Task:
Input: I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.
Prompt: What is the sentiment in the text towards 'price'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""unbelievable"",""importance"":""0.7""},{""adjective"":""so"",""importance"":""0.3""}]","The prediction was made based on the phrase ""the price was so unbelievable,"" which indicates a very positive sentiment towards the price. The word ""unbelievable"" in this context suggests that the speaker was impressed or pleasantly surprised by the price, leading to the classification of the sentiment as positive."
310,310,119,310,We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,brunch,neutral,6028,"Input: ""I have to say that I've been there only during brunch time but the service even though slow, it was good.""
Term: brunch
Output: neutral
",0.215237061006753,8146,"Input: ""We get treated very well and before we sit down to our steaks and fried green tomatoes that we love there - we have a few beers at the bar.""
Term: steaks
Output: positive
",0.2278909839390037,3302,"Input: ""We recently went for dinner with two kids and the staff were very accomodating even without reservations.""
Term: dinner
Output: neutral
",0.2477846276688883,negative,prompt_single_term_fewshot,"Example 1:
Input: ""I have to say that I've been there only during brunch time but the service even though slow, it was good.""
Term: brunch
Output: neutral


Example 2:
Input: ""We get treated very well and before we sit down to our steaks and fried green tomatoes that we love there - we have a few beers at the bar.""
Term: steaks
Output: positive


Example 3
Input: ""We recently went for dinner with two kids and the staff were very accomodating even without reservations.""
Term: dinner
Output: neutral

    
Task:
Input: We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.
Prompt: What is the sentiment in the text towards 'brunch'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""majorly dissapointed"",""importance"":""0.70""},
{""adjective"":""dissapointed"",""importance"":""0.20""},
{""adjective"":""how we were treated"",""importance"":""0.10""}]","The prediction of ""negative"" sentiment towards 'brunch' was based on the phrases ""majorly dissapointed with the service"" and ""how we were treated."" These phrases indicate a strong negative experience associated with the brunch, directly influencing the sentiment analysis."
440,440,167,440,"Although when I went to eat dinner at Bombay Talkie on a crazy busy night, my waiter was extremely helpful through the menu, polite and polished.",dinner,neutral,10199,"Input: ""Went to dinner on a Friday night and the place was packed and hot.""
Term: dinner
Output: neutral
",0.2223959428500504,2130,"Input: ""The place was extremely busy, and with food like this why not.""
Term: place
Output: positive
",0.2353554801693165,7166,"Input: ""It gets crazy busy like any other bar on the weekends, so don't go there on a busy night if your looking for a quiete dinner party or fine dining service.""
Term: bar
Output: neutral
",0.2720622038532618,positive,prompt_single_term_fewshot,"Example 1:
Input: ""Went to dinner on a Friday night and the place was packed and hot.""
Term: dinner
Output: neutral


Example 2:
Input: ""The place was extremely busy, and with food like this why not.""
Term: place
Output: positive


Example 3
Input: ""It gets crazy busy like any other bar on the weekends, so don't go there on a busy night if your looking for a quiete dinner party or fine dining service.""
Term: bar
Output: neutral

    
Task:
Input: Although when I went to eat dinner at Bombay Talkie on a crazy busy night, my waiter was extremely helpful through the menu, polite and polished.
Prompt: What is the sentiment in the text towards 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""extremely helpful"",""importance"":""0.6""},
{""adjective"":""polite"",""importance"":""0.2""},
{""adjective"":""polished"",""importance"":""0.2""}]","The prediction is based on the overall positive experience described in the context of having dinner, despite the night being ""crazy busy."" The words ""extremely helpful,"" ""polite,"" and ""polished"" in reference to the waiter's behavior during the dinner significantly influence the decision, suggesting a positive dining experience. These descriptors indicate satisfaction and a positive sentiment towards the dinner experience at Bombay Talkie, outweighing the potential negative connotation of a ""crazy busy night."""
254,254,95,254,Our waitress did not take our drink order until I finally flagged her down and even then she seemed disinterested in our meal.,meal,negative,10502,"Input: ""I did not like the place because: -it took the waiter over 20 min to take our order and then over an hour until we got our food.""
Term: waiter
Output: negative
",0.3460861068868181,3381,"Input: ""The waitress took forever to take our order, we waited almost an hour for our appetizers, and then she asked us whether she even put the order in -- as if we would even know.""
Term: waitress
Output: negative
",0.3639693354635164,3995,"Input: ""not only did we not get our 'bombay' fries until after the entire meal, but we then had to wait nearly an hour for our inattentive waiter to bring our check, and only after we flagged him down.""
Term: meal
Output: neutral
",0.3900492353707099,neutral,prompt_single_term_fewshot,"Example 1:
Input: ""I did not like the place because: -it took the waiter over 20 min to take our order and then over an hour until we got our food.""
Term: waiter
Output: negative


Example 2:
Input: ""The waitress took forever to take our order, we waited almost an hour for our appetizers, and then she asked us whether she even put the order in -- as if we would even know.""
Term: waitress
Output: negative


Example 3
Input: ""not only did we not get our 'bombay' fries until after the entire meal, but we then had to wait nearly an hour for our inattentive waiter to bring our check, and only after we flagged him down.""
Term: meal
Output: neutral

    
Task:
Input: Our waitress did not take our drink order until I finally flagged her down and even then she seemed disinterested in our meal.
Prompt: What is the sentiment in the text towards 'meal'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,[],"The prediction was made based on the context provided in the input text, focusing specifically on the term ""meal."" The sentiment expressed in the text primarily targets the service aspect, particularly the waitress's behavior and responsiveness. The term ""meal"" itself is mentioned in a neutral context, without any direct negative or positive qualifiers or experiences related to the quality, taste, or enjoyment of the meal. The negative sentiment is directed towards the service (""did not take our drink order,"" ""flagged her down,"" ""seemed disinterested""), not the meal itself. Therefore, the decision was influenced by the absence of specific positive or negative descriptions or experiences directly related to the ""meal,"" leading to a classification of ""neutral"" sentiment towards the term ""meal."""
18,18,6,18,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,shrimp with pasta,neutral,11180,"Input: ""The menu sounded good but the grilled eggplant roll was oversauced with a pile of mint, pork chop was leathery, and everything just tasted wrong.""
Term: menu
Output: neutral
",0.2499505478493337,3902,"Input: ""The food was OK, but I could have had pasta with tomatoes anywhere.""
Term: food
Output: positive
",0.2569582134755037,3805,"Input: ""I particularly like the side dishes -- the eggplant dip, for example -- and the appetizers.""
Term: side dishes
Output: positive
",0.2876288313635088,negative,prompt_single_term_fewshot,"Example 1:
Input: ""The menu sounded good but the grilled eggplant roll was oversauced with a pile of mint, pork chop was leathery, and everything just tasted wrong.""
Term: menu
Output: neutral


Example 2:
Input: ""The food was OK, but I could have had pasta with tomatoes anywhere.""
Term: food
Output: positive


Example 3
Input: ""I particularly like the side dishes -- the eggplant dip, for example -- and the appetizers.""
Term: side dishes
Output: positive

    
Task:
Input: The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).
Prompt: What is the sentiment in the text towards 'shrimp with pasta'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""adjective"":""just ok"",""importance"":""1.00""}]","The sentiment towards ""shrimp with pasta"" was determined to be negative based on the explicit comparison made in the input text. The phrase ""but my main course was just ok"" directly follows the enthusiastic approval of the eggplant parmesan, indicating a contrast in satisfaction levels. The word ""just ok"" suggests a lackluster or mediocre experience, especially when juxtaposed with the word ""AWESOME"" used to describe the eggplant parmesan. This comparison and the specific wording used to describe the shrimp with pasta meal influenced the decision to classify the sentiment as negative."
