text,aspect_terms
The decor is not special at all but their food and amazing prices make up for it.,"{'from': [4, 42, 59], 'to': [9, 46, 65], 'polarity': ['negative', 'positive', 'positive'], 'term': ['decor', 'food', 'prices']}"
"when tables opened up, the manager sat another party before us.","{'from': [5, 27], 'to': [11, 34], 'polarity': ['neutral', 'negative'], 'term': ['tables', 'manager']}"
"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.","{'from': [11, 54, 93, 145], 'to': [15, 72, 101, 150], 'polarity': ['neutral', 'negative', 'positive', 'positive'], 'term': ['menu', 'peanut butter roll', 'classics', 'sushi']}"
"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.","{'from': [0, 78], 'to': [7, 82], 'polarity': ['positive', 'neutral'], 'term': ['service', 'food']}"
PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,"{'from': [20, 47], 'to': [26, 70], 'polarity': ['neutral', 'positive'], 'term': ['brunch', 'eggs served with onions']}"
they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,"{'from': [46, 98], 'to': [50, 101], 'polarity': ['neutral', 'negative'], 'term': ['menu', 'guy']}"
"The server came to us and was sooo hot, he went over the menu and specials with us.","{'from': [4, 57], 'to': [10, 61], 'polarity': ['positive', 'neutral'], 'term': ['server', 'menu']}"
The Food The best surprises on the El Salvadorean menu are the appetizers.,"{'from': [4, 63], 'to': [8, 73], 'polarity': ['neutral', 'positive'], 'term': ['Food', 'appetizers']}"
"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.","{'from': [10, 25, 67], 'to': [16, 32, 74], 'polarity': ['positive', 'neutral', 'negative'], 'term': ['Dinner', 'service', 'hostess']}"
"Still, after all the fuss, the food makes you forget about the wait.","{'from': [31, 63], 'to': [35, 67], 'polarity': ['positive', 'neutral'], 'term': ['food', 'wait']}"
I had to physically get out of my seat and find the waitress twice just to ask for more water.,"{'from': [34, 52, 88], 'to': [38, 60, 93], 'polarity': ['neutral', 'negative', 'neutral'], 'term': ['seat', 'waitress', 'water']}"
"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.","{'from': [47, 96], 'to': [56, 102], 'polarity': ['negative', 'neutral'], 'term': ['bartender', 'drinks']}"
