Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,prediction,prompt,prompt_name,model_name,error,analysis
0,Ford Figo Aspire 1.5 TDCi Titanium,2017,670000,70000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0,550000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Ford Figo Aspire 1.5 TDCi Titanium,
year: 2017,
km_driven: 70000,
fuel: Diesel,
seller_type: Individual,
transmission: Manual,
owner: First Owner,
mileage: 25.83 kmpl,
engine: 1498 CC,
max_power: 99 bhp,
torque: 215Nm@ 1750-3000rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,Confidence: 90%
1,Mahindra Scorpio VLX 2WD AIRBAG BSIII,2012,525000,120000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,650000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Mahindra Scorpio VLX 2WD AIRBAG BSIII,
year: 2012,
km_driven: 120000,
fuel: Diesel,
seller_type: Individual,
transmission: Manual,
owner: First Owner,
mileage: 12.05 kmpl,
engine: 2179 CC,
max_power: 120 bhp,
torque: 290Nm@ 1800-2800rpm,
seats: 8.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,Confidence: 85%
2,Maruti Swift Dzire VDI,2014,438999,81000,Diesel,Dealer,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,450000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Maruti Swift Dzire VDI,
year: 2014,
km_driven: 81000,
fuel: Diesel,
seller_type: Dealer,
transmission: Manual,
owner: First Owner,
mileage: 23.4 kmpl,
engine: 1248 CC,
max_power: 74 bhp,
torque: 190Nm@ 2000rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,Confidence: 90%
3,Ford Figo Diesel Titanium,2010,144000,50000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,250000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Ford Figo Diesel Titanium,
year: 2010,
km_driven: 50000,
fuel: Diesel,
seller_type: Individual,
transmission: Manual,
owner: Second Owner,
mileage: 20.0 kmpl,
engine: 1399 CC,
max_power: 68 bhp,
torque: 160Nm@ 2000rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,Confidence: 90%
4,Hyundai i10 Magna 1.1L,2008,185000,110000,Petrol,Individual,Manual,Fourth & Above Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,150000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Hyundai i10 Magna 1.1L,
year: 2008,
km_driven: 110000,
fuel: Petrol,
seller_type: Individual,
transmission: Manual,
owner: Fourth & Above Owner,
mileage: 19.81 kmpl,
engine: 1086 CC,
max_power: 68.05 bhp,
torque: 99.04Nm@ 4500rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,Confidence: 85%
5,Hyundai Sonata 2.4 GDi MT,2012,500000,330000,Petrol,Individual,Manual,Second Owner,13.44 kmpl,2359 CC,198.25 bhp,250Nm@ 4250rpm,5.0,300000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Hyundai Sonata 2.4 GDi MT,
year: 2012,
km_driven: 330000,
fuel: Petrol,
seller_type: Individual,
transmission: Manual,
owner: Second Owner,
mileage: 13.44 kmpl,
engine: 2359 CC,
max_power: 198.25 bhp,
torque: 250Nm@ 4250rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,Confidence: 85%
6,Maruti Vitara Brezza ZDi Plus Dual Tone,2017,775000,32000,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,800000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Maruti Vitara Brezza ZDi Plus Dual Tone,
year: 2017,
km_driven: 32000,
fuel: Diesel,
seller_type: Dealer,
transmission: Manual,
owner: First Owner,
mileage: 24.3 kmpl,
engine: 1248 CC,
max_power: 88.5 bhp,
torque: 200Nm@ 1750rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,Confidence: 90%
7,Maruti Alto K10 VXI,2019,360000,27000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,350000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Maruti Alto K10 VXI,
year: 2019,
km_driven: 27000,
fuel: Petrol,
seller_type: Individual,
transmission: Manual,
owner: First Owner,
mileage: 23.95 kmpl,
engine: 998 CC,
max_power: 67.05 bhp,
torque: 90Nm@ 3500rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,Confidence: 90%
8,Mahindra Scorpio VLS AT 2.2 mHAWK,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,650000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Mahindra Scorpio VLS AT 2.2 mHAWK,
year: 2012,
km_driven: 120000,
fuel: Diesel,
seller_type: Individual,
transmission: Automatic,
owner: Third Owner,
mileage: 11.79 kmpl,
engine: 2179 CC,
max_power: 120 bhp,
torque: 290Nm@ 1800-2800rpm,
seats: 8.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,Confidence: 85%
9,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2008,330000,193623,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,450000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,
year: 2008,
km_driven: 193623,
fuel: Diesel,
seller_type: Individual,
transmission: Manual,
owner: Second Owner,
mileage: 12.8 kmpl,
engine: 2494 CC,
max_power: 102 bhp,
torque: 20.4@ 1400-3400(kgm@ rpm),
seats: 8.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,Confidence: 85%
