,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt
0,0,0,"After a couple of drinks, the apps--I like the lobster/mango summer roll and the cripsy squid--go down great.",drinks,neutral,positive,prompt_3_zeroshot_single_term,"After a couple of drinks, the apps--I like the lobster/mango summer roll and the cripsy squid--go down great.

    What is the sentiment on 'drinks'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
1,0,1,"After a couple of drinks, the apps--I like the lobster/mango summer roll and the cripsy squid--go down great.",roll,positive,positive,prompt_3_zeroshot_single_term,"After a couple of drinks, the apps--I like the lobster/mango summer roll and the cripsy squid--go down great.

    What is the sentiment on 'roll'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
2,0,2,"After a couple of drinks, the apps--I like the lobster/mango summer roll and the cripsy squid--go down great.",cripsy squid,positive,positive,prompt_3_zeroshot_single_term,"After a couple of drinks, the apps--I like the lobster/mango summer roll and the cripsy squid--go down great.

    What is the sentiment on 'cripsy squid'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
3,1,3,"The basil pepper mojito was a little daunting in concept, but I was refreshed at the flavor.",basil pepper mojito,negative,positive,prompt_3_zeroshot_single_term,"The basil pepper mojito was a little daunting in concept, but I was refreshed at the flavor.

    What is the sentiment on 'basil pepper mojito'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
4,1,4,"The basil pepper mojito was a little daunting in concept, but I was refreshed at the flavor.",flavor,positive,positive,prompt_3_zeroshot_single_term,"The basil pepper mojito was a little daunting in concept, but I was refreshed at the flavor.

    What is the sentiment on 'flavor'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
5,2,5,"Had to constantly ask the waiter to top up water glasses, but generally service was ok.",waiter,negative,neutral,prompt_3_zeroshot_single_term,"Had to constantly ask the waiter to top up water glasses, but generally service was ok.

    What is the sentiment on 'waiter'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
6,2,6,"Had to constantly ask the waiter to top up water glasses, but generally service was ok.",water glasses,neutral,negative,prompt_3_zeroshot_single_term,"Had to constantly ask the waiter to top up water glasses, but generally service was ok.

    What is the sentiment on 'water glasses'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
7,2,7,"Had to constantly ask the waiter to top up water glasses, but generally service was ok.",service,positive,negative,prompt_3_zeroshot_single_term,"Had to constantly ask the waiter to top up water glasses, but generally service was ok.

    What is the sentiment on 'service'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
8,3,8,The portions were so small that we still wanted to eat after dinner.,portions,negative,negative,prompt_3_zeroshot_single_term,"The portions were so small that we still wanted to eat after dinner.

    What is the sentiment on 'portions'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
9,3,9,The portions were so small that we still wanted to eat after dinner.,dinner,neutral,negative,prompt_3_zeroshot_single_term,"The portions were so small that we still wanted to eat after dinner.

    What is the sentiment on 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word."
