,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt
0,0,0,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",desserts,positive,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.""

Terms:
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
1,0,1,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",dulce de leche ice-cream,neutral,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.""

Terms:
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
2,0,2,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",chocolate sauce tic-tac-toe,neutral,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.""

Terms:
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
3,0,3,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",poached pineapple,neutral,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.""

Terms:
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
4,1,4,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,negative,negative,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""The server was so busy the night we visited that she forgot to put in our food order.""

Terms:
'server'
'food'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
5,1,5,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,neutral,neutral,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""The server was so busy the night we visited that she forgot to put in our food order.""

Terms:
'server'
'food'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
6,2,6,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",dinner,neutral,neutral,neutral,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.""

Terms:
'dinner'
'scene'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
7,2,7,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",scene,positive,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.""

Terms:
'dinner'
'scene'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,neutral,neutral,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""My boyfriend and I went one Friday night to find that the place was empty except for one other table.""

Terms:
'place'
'table'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
9,3,9,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,table,neutral,neutral,neutral,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""My boyfriend and I went one Friday night to find that the place was empty except for one other table.""

Terms:
'place'
'table'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
10,4,10,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",pizza crust,negative,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.""

Terms:
'pizza crust'
'cheese'
'sauce'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
11,4,11,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",cheese,positive,positive,positive,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.""

Terms:
'pizza crust'
'cheese'
'sauce'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
12,4,12,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",sauce,positive,neutral,neutral,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.""

Terms:
'pizza crust'
'cheese'
'sauce'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
13,5,13,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",waiter,negative,negative,negative,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.""

Terms:
'waiter'
'menu'
'food'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
14,5,14,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",menu,neutral,negative,negative,"Task: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'.

Sentence: ""After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.""

Terms:
'waiter'
'menu'
'food'


Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON.
Answer:"
