Unnamed: 0.1,Unnamed: 0,text_id,term_id,text,term,polarity,example1_term_id,example1_prompt,example2_term_id,example2_prompt,example3_term_id,example3_prompt,polarity_pred,prompt_name,prompt,error,structured_analysis,unstructured_analysis
40,40,14,40,"When my brother and I we had too much pizza in New York, we would like to order something else from the menu.",pizza,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",neutral,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: When my brother and I we had too much pizza in New York, we would like to order something else from the menu.
Prompt: What is the sentiment in the text towards 'pizza'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""brother and I"": ""0.5""}, {""too much"": ""0.5""}]","I made my prediction based on the context provided in the input text. The phrase ""had too much pizza"" suggests a potential negative sentiment towards pizza, but the intention to order something else from the menu indicates a neutral sentiment. Therefore, considering both positive and negative cues, the overall sentiment towards ""pizza"" is neutral."
196,196,76,196,"dinner on 1st floor (street level) a bit noisy, 2nd floor has bed-style seating that is good for dessert drinks (do not attempt to have entree on the bed, what a mess it will be trying to eat rice dishes with sauce while half-lying down).",dinner,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: dinner on 1st floor (street level) a bit noisy, 2nd floor has bed-style seating that is good for dessert drinks (do not attempt to have entree on the bed, what a mess it will be trying to eat rice dishes with sauce while half-lying down).
Prompt: What is the sentiment in the text towards 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""noisy"",""importance"":""0.40""},
{""word"":""mess"",""importance"":""0.30""},
{""word"":""trying to eat"",""importance"":""0.30""}
]","I made the prediction based on the negative connotations associated with the words ""noisy"" and the messy scenario described when attempting to eat rice dishes on the bed-style seating. These words suggest a negative sentiment towards the term ""dinner"" in the text."
436,436,165,436,This place would be so much better served by being run by a group that actually understands customer service.,served,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: This place would be so much better served by being run by a group that actually understands customer service.
Prompt: What is the sentiment in the text towards 'served'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""group"":""run by a group that actually understands customer service"",""importance"":""1.0""}]","I made the prediction based on the negative sentiment expressed towards the concept of ""being served"" in the text. The words ""so much better served"" and ""actually understands customer service"" indicate a negative sentiment towards the term ""served."""
449,449,169,449,"The server came by only once to pour additional wine for the table; the rest of the time, we had to fish the bottle out of the two-table communal bucket ourselves.",fish,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The server came by only once to pour additional wine for the table; the rest of the time, we had to fish the bottle out of the two-table communal bucket ourselves.
Prompt: What is the sentiment in the text towards 'fish'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""fish the bottle out of the two-table communal bucket ourselves"",""importance"":""1.0""}]","I made the prediction based on the negative connotation associated with the phrase ""had to fish the bottle out."" The word ""fish"" in this context implies a negative sentiment as it suggests an inconvenient or unpleasant action."
29,29,10,29,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",edamame,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.
Prompt: What is the sentiment in the text towards 'edamame'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""free"": ""0.30""}, {""quality"": ""0.70""}]","I made the prediction based on the positive sentiment expressed towards receiving the edamame for free and the emphasis on the importance of food quality over a complimentary dish. The phrase ""I got the edamame and something from the sushi chef for free"" indicates a positive association with the term ""edamame."""
351,351,133,351,The waiter kept coming up and asking to take our plates while we were still eating and the manager stood and stared at us through half our meal!,meal,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The waiter kept coming up and asking to take our plates while we were still eating and the manager stood and stared at us through half our meal!
Prompt: What is the sentiment in the text towards 'meal'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""waiter kept coming up"": ""0.40""},
{""stared at us"": ""0.30""},
{""still eating"": ""0.30""}]","I made the prediction based on the negative descriptions of the waiter's behavior (""kept coming up and asking to take our plates while we were still eating"") and the manager's behavior (""stood and stared at us through half our meal""). These negative interactions influenced my decision to classify the sentiment towards the 'meal' as negative."
358,358,136,358,(Though the filet won't be enough if both have hearty apitites.,apitites,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: (Though the filet won't be enough if both have hearty apitites.
Prompt: What is the sentiment in the text towards 'apitites'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""won't be enough"",""importance"":""0.6""},
{""word"":""hearty"",""importance"":""0.4""}
]","I made the prediction based on the word ""won't be enough"" which indicates a negative sentiment towards ""appetites."" The phrase ""both have hearty appetites"" suggests a desire for more food, further supporting the negative sentiment."
233,233,88,233,The waiter recommended I choose a bottle for the entire meal.,waiter,negative,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The waiter recommended I choose a bottle for the entire meal.
Prompt: What is the sentiment in the text towards 'waiter'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""waiter"":""0.9""}, {""recommended"":""0.1""}]","I made the prediction based on the positive sentiment expressed towards the waiter through the phrase ""waiter recommended"" indicating helpfulness and attentiveness."
226,226,85,226,"The atmosphere was warm, sexy, and very romantic but the lighting wasn't good for reading the menu.",menu,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The atmosphere was warm, sexy, and very romantic but the lighting wasn't good for reading the menu.
Prompt: What is the sentiment in the text towards 'menu'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""warm"",""importance"":""0.20""},
{""sexy"",""importance"":""0.20""},
{""romantic"",""importance"":""0.20""},
{""lighting wasn't good"",""importance"":""0.40""}
]","I made the prediction based on the phrase ""lighting wasn't good for reading the menu,"" which indicates a negative sentiment towards the menu due to the poor lighting."
72,72,26,72,Ive had better burgers and fries at the local dinner in my neighborhood: 3 guys dinner on 96th and Madison Avenue.,local dinner,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: Ive had better burgers and fries at the local dinner in my neighborhood: 3 guys dinner on 96th and Madison Avenue.
Prompt: What is the sentiment in the text towards 'local dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""better"",""importance"":""0.6""},
{""word"":""local"",""importance"":""0.4""}
]","I made the prediction based on the comparison made between the local dinner and a specific restaurant, indicating that the local dinner was not as good. The words ""Ive had better burgers and fries"" and ""local dinner"" were key in determining the negative sentiment towards the local dinner."
