Unnamed: 0,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt,error,structured_analysis,unstructured_analysis
153,60,153,"We had no problems with our resevations and found the service and the meal well worth a wait, had we run into one.",service,neutral,positive,prompt_3_zeroshot_single_term,"We had no problems with our resevations and found the service and the meal well worth a wait, had we run into one.

    What is the sentiment on 'service'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""service"":""well worth a wait"",""importance"":""1.0""}
]","I made the prediction based on the positive sentiment conveyed towards the service in the sentence. The words ""service"" and ""well worth a wait"" had a high influence on my decision."
291,112,291,My husband and I had dinner here last week and the food was very good.,dinner,neutral,positive,prompt_3_zeroshot_single_term,"My husband and I had dinner here last week and the food was very good.

    What is the sentiment on 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""food"":""0.70""},
{""good"":""0.30""}
]","I made the prediction based on the words ""very good"" used to describe the food, indicating a positive sentiment towards the dinner experience."
275,105,275,"The Scene Shun Lee Palace is popular with midtown locals, possibly because the upscale room means you can impress a client and have Chinese for lunch at the same time.",lunch,neutral,positive,prompt_3_zeroshot_single_term,"The Scene Shun Lee Palace is popular with midtown locals, possibly because the upscale room means you can impress a client and have Chinese for lunch at the same time.

    What is the sentiment on 'lunch'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""upscale room"": ""0.40""},
{""impress a client"": ""0.30""},
{""Chinese"": ""0.30""}
]","I made the prediction based on the positive associations with ""impress a client"" and ""upscale room"" in relation to having Chinese for lunch at Shun Lee Palace."
55,19,55,"When I asked the waitress, she told me they couldn't afford the salmon, and had changed the dish (though not on the menu).",salmon,negative,neutral,prompt_3_zeroshot_single_term,"When I asked the waitress, she told me they couldn't afford the salmon, and had changed the dish (though not on the menu).

    What is the sentiment on 'salmon'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""afford"",""importance"":""0.5""},
{""changed"",""importance"":""0.5""}
]","I determined the sentiment as ""neutral"" based on the lack of emotional tone or opinion expressed towards salmon in the given context. The words ""couldn't afford"" and ""changed the dish"" indicated a practical or financial reason for the change, rather than a positive or negative sentiment towards salmon itself."
131,50,131,"Next, follow up with another Cosmo and try the chicken fingers (not your lil brothers), Hawaiian rib eye, filet mignon, or trusty burger.",Hawaiian rib,neutral,positive,prompt_3_zeroshot_single_term,"Next, follow up with another Cosmo and try the chicken fingers (not your lil brothers), Hawaiian rib eye, filet mignon, or trusty burger.

    What is the sentiment on 'Hawaiian rib'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Hawaiian rib eye"": ""0.9""},
{""delicious"": ""0.6""},
{""flavorful"": ""0.4""},
{""tender"": ""0.3""},
{""juicy"": ""0.2""}
]","I made my prediction based on the positive connotations associated with the word ""Hawaiian"" and the popular appeal of ""rib eye"" as a menu item."
176,68,176,"Appetizers are the safest bet, including a bountiful calamari plate or the appropriately earthy mushroom polenta.",bountiful calamari plate,neutral,positive,prompt_3_zeroshot_single_term,"Appetizers are the safest bet, including a bountiful calamari plate or the appropriately earthy mushroom polenta.

    What is the sentiment on 'bountiful calamari plate'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""bountiful"": ""0.70""},
{""calamari"": ""0.30""}
]","I made the prediction based on the positive adjectives ""bountiful"" and the appetizing nature of calamari as a popular dish. These words suggest a positive sentiment towards the calamari plate."
17,6,17,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,main course,neutral,negative,prompt_3_zeroshot_single_term,"The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).

    What is the sentiment on 'main course'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""ok"",""importance"":""0.8""},
{""word"":""shrimp"",""importance"":""0.2""}
]","I made the prediction based on the user's description of the main course as ""just ok,"" indicating a neutral to slightly negative sentiment. The words ""just ok"" had a high influence on my decision."
57,20,57,There were a lot of scensters who couldnt afford dinner hanging in the waiting area so we got bumped around a lot.,dinner,negative,neutral,prompt_3_zeroshot_single_term,"There were a lot of scensters who couldnt afford dinner hanging in the waiting area so we got bumped around a lot.

    What is the sentiment on 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""afford"":""0.50""},
{""waiting area"":""0.50""}
]","I made my prediction based on the context provided in the sentence. The words ""scensters,"" ""afford dinner,"" and ""waiting area"" indicated a situation where some individuals couldn't afford dinner, leading to a negative experience. However, the overall tone of the sentence was more descriptive than emotional, leading to a neutral sentiment."
203,78,203,"The Clinton-frequented restaurant stands handsomely on a quiet residential corner, and the modern interior includes a long dining room, a small bar and harsh lighting.",bar,negative,neutral,prompt_3_zeroshot_single_term,"The Clinton-frequented restaurant stands handsomely on a quiet residential corner, and the modern interior includes a long dining room, a small bar and harsh lighting.

    What is the sentiment on 'bar'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""modern"": ""0.30""},
{""small"": ""0.20""},
{""harsh lighting"": ""0.50""}
]","I made the prediction based on the neutral tone of the description of the bar as ""small"" and part of the modern interior. The lack of positive or negative descriptors led me to determine the sentiment as neutral."
258,97,258,Telly's has the best octopus ever and the fish was so good on the grill.,grill,neutral,positive,prompt_3_zeroshot_single_term,"Telly's has the best octopus ever and the fish was so good on the grill.

    What is the sentiment on 'grill'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""grill"":""0.9""},
{""good"":""0.7""}
]","I made the prediction based on the positive words ""best"" and ""good"" used to describe the octopus and fish, as well as the positive association of grilling food."
