text_id,term_id,text,term,polarity
0,0,The decor is not special at all but their food and amazing prices make up for it.,decor,negative
0,1,The decor is not special at all but their food and amazing prices make up for it.,food,positive
0,2,The decor is not special at all but their food and amazing prices make up for it.,prices,positive
1,3,"when tables opened up, the manager sat another party before us.",tables,neutral
1,4,"when tables opened up, the manager sat another party before us.",manager,negative
2,5,"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",menu,neutral
2,6,"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",peanut butter roll,negative
2,7,"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",classics,positive
2,8,"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",sushi,positive
3,9,"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.",service,positive
3,10,"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.",food,neutral
4,11,PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,brunch,neutral
4,12,PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,eggs served with onions,positive
5,13,they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,menu,neutral
5,14,they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,guy,negative
6,15,"The server came to us and was sooo hot, he went over the menu and specials with us.",server,positive
6,16,"The server came to us and was sooo hot, he went over the menu and specials with us.",menu,neutral
7,17,The Food The best surprises on the El Salvadorean menu are the appetizers.,Food,neutral
7,18,The Food The best surprises on the El Salvadorean menu are the appetizers.,appetizers,positive
8,19,"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.",Dinner,positive
8,20,"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.",service,neutral
8,21,"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.",hostess,negative
9,22,"Still, after all the fuss, the food makes you forget about the wait.",food,positive
9,23,"Still, after all the fuss, the food makes you forget about the wait.",wait,neutral
10,24,I had to physically get out of my seat and find the waitress twice just to ask for more water.,seat,neutral
10,25,I had to physically get out of my seat and find the waitress twice just to ask for more water.,waitress,negative
10,26,I had to physically get out of my seat and find the waitress twice just to ask for more water.,water,neutral
11,27,"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.",bartender,negative
11,28,"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.",drinks,neutral
12,29,"Three course meal for lunch was $13, the prices for dinner were just as great!",course meal,neutral
12,30,"Three course meal for lunch was $13, the prices for dinner were just as great!",lunch,neutral
12,31,"Three course meal for lunch was $13, the prices for dinner were just as great!",prices,positive
12,32,"Three course meal for lunch was $13, the prices for dinner were just as great!",dinner,neutral
13,33,"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.",wine,neutral
13,34,"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.",eat,positive
14,35,"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.",service,positive
14,36,"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.",menu,positive
14,37,"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.",food,negative
15,38,"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.",entrees,neutral
15,39,"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.",waitresses,negative
16,40,"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",table,neutral
16,41,"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",reservations,neutral
16,42,"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",owners,negative
17,43,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",menu,neutral
17,44,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",French bistro fare,positive
17,45,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",steamed mussels with French fries,neutral
17,46,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",green peppercorn sauce,neutral
18,47,The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,Scene,neutral
18,48,The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,spot,positive
19,49,Get in before peak dinner time (7-8 PM) to avoid harried service.,dinner,neutral
19,50,Get in before peak dinner time (7-8 PM) to avoid harried service.,service,negative
