,text_id,term_id,text,term,polarity,polarity_pred,token_weights
0,0,0,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",desserts,positive,neutral,"details : 0.03391598521293542, distinguish : -0.09060113082679158, desserts : 0.19248726523508278, from : -0.5657247889759164, de : 0.17945842872799, leche : -0.017470373128488346, ice : -0.4998306600951552, cream : -0.12930417399686137, chocolate : -0.06244679606010882, sauce : 0.093990918074225, board : 0.06681904708332484, to : 0.06489666268372277, coconut : -0.36438710196307356, custard : -0.21438130042712866, surrounded : -0.27077686792325767, by : -0.38154381418577143, sea : 0.24051716214945149, of : -0.6721133239838706, malibu : 0.05987580658035815, rum : -0.1288084155438607, and : -1.4714550858778395, poached : 0.08233233182375482, pineapple : -0.27647806259917757"
1,0,1,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",dulce de leche ice-cream,neutral,neutral,"details : 0.03391598521293542, distinguish : -0.09060113082679158, desserts : 0.19248726523508278, from : -0.5657247889759164, de : 0.17945842872799, leche : -0.017470373128488346, ice : -0.4998306600951552, cream : -0.12930417399686137, chocolate : -0.06244679606010882, sauce : 0.093990918074225, board : 0.06681904708332484, to : 0.06489666268372277, coconut : -0.36438710196307356, custard : -0.21438130042712866, surrounded : -0.27077686792325767, by : -0.38154381418577143, sea : 0.24051716214945149, of : -0.6721133239838706, malibu : 0.05987580658035815, rum : -0.1288084155438607, and : -1.4714550858778395, poached : 0.08233233182375482, pineapple : -0.27647806259917757"
2,0,2,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",chocolate sauce tic-tac-toe,neutral,positive,"details : 0.03391598521293542, distinguish : -0.09060113082679158, desserts : 0.19248726523508278, from : -0.5657247889759164, de : 0.17945842872799, leche : -0.017470373128488346, ice : -0.4998306600951552, cream : -0.12930417399686137, chocolate : -0.06244679606010882, sauce : 0.093990918074225, board : 0.06681904708332484, to : 0.06489666268372277, coconut : -0.36438710196307356, custard : -0.21438130042712866, surrounded : -0.27077686792325767, by : -0.38154381418577143, sea : 0.24051716214945149, of : -0.6721133239838706, malibu : 0.05987580658035815, rum : -0.1288084155438607, and : -1.4714550858778395, poached : 0.08233233182375482, pineapple : -0.27647806259917757"
3,0,3,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",poached pineapple,neutral,neutral,"details : 0.03391598521293542, distinguish : -0.09060113082679158, desserts : 0.19248726523508278, from : -0.5657247889759164, de : 0.17945842872799, leche : -0.017470373128488346, ice : -0.4998306600951552, cream : -0.12930417399686137, chocolate : -0.06244679606010882, sauce : 0.093990918074225, board : 0.06681904708332484, to : 0.06489666268372277, coconut : -0.36438710196307356, custard : -0.21438130042712866, surrounded : -0.27077686792325767, by : -0.38154381418577143, sea : 0.24051716214945149, of : -0.6721133239838706, malibu : 0.05987580658035815, rum : -0.1288084155438607, and : -1.4714550858778395, poached : 0.08233233182375482, pineapple : -0.27647806259917757"
4,1,4,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,negative,"the : 0.1599567509788442, server : -0.7992034817534253, was : 0.6756384514067241, so : 0.19039592179678827, busy : 0.16463969792626487, the : 0.1599567509788442, night : -0.010050715482531029, we : -0.3054258736797305, visited : -0.2052634044042691, that : 0.09505491397152648, she : -0.21261767492568515, forgot : 0.8699980788561807, to : 0.06489666268372277, put : -0.3579475088613879, in : 0.17410305733559264, our : 0.05402355815250684, food : 0.7708413724540557, order : 0.21831657432765952"
5,1,5,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,neutral,"the : 0.1599567509788442, server : -0.7992034817534253, was : 0.6756384514067241, so : 0.19039592179678827, busy : 0.16463969792626487, the : 0.1599567509788442, night : -0.010050715482531029, we : -0.3054258736797305, visited : -0.2052634044042691, that : 0.09505491397152648, she : -0.21261767492568515, forgot : 0.8699980788561807, to : 0.06489666268372277, put : -0.3579475088613879, in : 0.17410305733559264, our : 0.05402355815250684, food : 0.7708413724540557, order : 0.21831657432765952"
6,2,6,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",dinner,neutral,neutral,"weeks : -0.22281682932955468, ago : 0.4184197669608518, decided : 0.4038940570204375, to : 0.06489666268372277, set : -0.2404233141130619, up : 0.3657616299706305, birthday : -0.5752831221708429, dinner : 0.06580938608266196, in : 0.17410305733559264, this : 0.3789860937031017, establishment : 0.1294496511294566, and : -1.4714550858778395, was : 0.6756384514067241, wary : 0.10986564255745543, with : -1.066377583521574, the : 0.1599567509788442, reviews : -0.3373532605941559, ve : -0.4831981291949797, read : -0.2960224074926152, in : 0.17410305733559264, city : -0.8675853894471941, search : 0.17119151242799371, but : 2.041756649529249, it : 0.25400665821968343, seems : -0.10429655132037441, to : 0.06489666268372277, be : 0.3984678234144336, perfect : -0.8283839966382349, scene : -0.5050418315306884"
7,2,7,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",scene,positive,neutral,"weeks : -0.22281682932955468, ago : 0.4184197669608518, decided : 0.4038940570204375, to : 0.06489666268372277, set : -0.2404233141130619, up : 0.3657616299706305, birthday : -0.5752831221708429, dinner : 0.06580938608266196, in : 0.17410305733559264, this : 0.3789860937031017, establishment : 0.1294496511294566, and : -1.4714550858778395, was : 0.6756384514067241, wary : 0.10986564255745543, with : -1.066377583521574, the : 0.1599567509788442, reviews : -0.3373532605941559, ve : -0.4831981291949797, read : -0.2960224074926152, in : 0.17410305733559264, city : -0.8675853894471941, search : 0.17119151242799371, but : 2.041756649529249, it : 0.25400665821968343, seems : -0.10429655132037441, to : 0.06489666268372277, be : 0.3984678234144336, perfect : -0.8283839966382349, scene : -0.5050418315306884"
8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,negative,"my : -0.0024860046636431283, boyfriend : 0.33974302328967554, and : -1.4714550858778395, went : -0.05699534443181463, one : 0.23332637109315876, friday : 0.3710437104039194, night : -0.010050715482531029, to : 0.06489666268372277, find : -0.3436643968683538, that : 0.09505491397152648, the : 0.1599567509788442, place : 0.11506505080479565, was : 0.6756384514067241, empty : 1.475695875488159, except : 0.5976425106620944, for : -0.3734769200685542, one : 0.23332637109315876, other : 0.27763512392968487, table : -0.0694763892292324"
9,3,9,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,table,neutral,neutral,"my : -0.0024860046636431283, boyfriend : 0.33974302328967554, and : -1.4714550858778395, went : -0.05699534443181463, one : 0.23332637109315876, friday : 0.3710437104039194, night : -0.010050715482531029, to : 0.06489666268372277, find : -0.3436643968683538, that : 0.09505491397152648, the : 0.1599567509788442, place : 0.11506505080479565, was : 0.6756384514067241, empty : 1.475695875488159, except : 0.5976425106620944, for : -0.3734769200685542, one : 0.23332637109315876, other : 0.27763512392968487, table : -0.0694763892292324"
10,4,10,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",pizza crust,negative,positive,"amazing : -1.080636142733535, crust : -0.0896696980423196, and : -1.4714550858778395, hate : 0.1976523436262471, pizza : -0.7538451848479287, crust : -0.0896696980423196, typically : 0.12267799175053437, great : -1.2287146505139575, cheese : -0.1754919695016529, sauce : 0.093990918074225, isn : 1.1713838428256362, too : 0.4799900536067581"
11,4,11,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",cheese,positive,positive,"amazing : -1.080636142733535, crust : -0.0896696980423196, and : -1.4714550858778395, hate : 0.1976523436262471, pizza : -0.7538451848479287, crust : -0.0896696980423196, typically : 0.12267799175053437, great : -1.2287146505139575, cheese : -0.1754919695016529, sauce : 0.093990918074225, isn : 1.1713838428256362, too : 0.4799900536067581"
12,4,12,"Amazing crust (and I hate pizza crust typically), great cheese, sauce isn't too sugary.",sauce,positive,positive,"amazing : -1.080636142733535, crust : -0.0896696980423196, and : -1.4714550858778395, hate : 0.1976523436262471, pizza : -0.7538451848479287, crust : -0.0896696980423196, typically : 0.12267799175053437, great : -1.2287146505139575, cheese : -0.1754919695016529, sauce : 0.093990918074225, isn : 1.1713838428256362, too : 0.4799900536067581"
13,5,13,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",waiter,negative,negative,"after : 0.13354266707787985, being : -0.2695135674224448, seated : -0.27835617230821097, took : 0.6437041530593963, our : 0.05402355815250684, waiter : -0.8701139115254307, 10 : -0.13353234997652894, to : 0.06489666268372277, get : 0.07166725340833979, us : -0.07882380616122509, menu : -0.8412156567032758, 15 : -0.07571091893546268, minutes : 0.5152283794026853, to : 0.06489666268372277, come : -0.09339932561243805, back : 0.10135861959021845, for : -0.3734769200685542, our : 0.05402355815250684, order : 0.21831657432765952, by : -0.38154381418577143, the : 0.1599567509788442, time : -0.10786788689349683, we : -0.3054258736797305, finally : 0.3523461704807343, got : 0.5241633336006611, our : 0.05402355815250684, food : 0.7708413724540557, it : 0.25400665821968343, was : 0.6756384514067241, almost : 0.8028725847128405, hour : 0.7014582422046489, since : 0.32267591571811516, getting : -0.08647558929838593, there : -0.6327836073639417"
14,5,14,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",menu,neutral,neutral,"after : 0.13354266707787985, being : -0.2695135674224448, seated : -0.27835617230821097, took : 0.6437041530593963, our : 0.05402355815250684, waiter : -0.8701139115254307, 10 : -0.13353234997652894, to : 0.06489666268372277, get : 0.07166725340833979, us : -0.07882380616122509, menu : -0.8412156567032758, 15 : -0.07571091893546268, minutes : 0.5152283794026853, to : 0.06489666268372277, come : -0.09339932561243805, back : 0.10135861959021845, for : -0.3734769200685542, our : 0.05402355815250684, order : 0.21831657432765952, by : -0.38154381418577143, the : 0.1599567509788442, time : -0.10786788689349683, we : -0.3054258736797305, finally : 0.3523461704807343, got : 0.5241633336006611, our : 0.05402355815250684, food : 0.7708413724540557, it : 0.25400665821968343, was : 0.6756384514067241, almost : 0.8028725847128405, hour : 0.7014582422046489, since : 0.32267591571811516, getting : -0.08647558929838593, there : -0.6327836073639417"
15,5,15,"After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.",food,neutral,neutral,"after : 0.13354266707787985, being : -0.2695135674224448, seated : -0.27835617230821097, took : 0.6437041530593963, our : 0.05402355815250684, waiter : -0.8701139115254307, 10 : -0.13353234997652894, to : 0.06489666268372277, get : 0.07166725340833979, us : -0.07882380616122509, menu : -0.8412156567032758, 15 : -0.07571091893546268, minutes : 0.5152283794026853, to : 0.06489666268372277, come : -0.09339932561243805, back : 0.10135861959021845, for : -0.3734769200685542, our : 0.05402355815250684, order : 0.21831657432765952, by : -0.38154381418577143, the : 0.1599567509788442, time : -0.10786788689349683, we : -0.3054258736797305, finally : 0.3523461704807343, got : 0.5241633336006611, our : 0.05402355815250684, food : 0.7708413724540557, it : 0.25400665821968343, was : 0.6756384514067241, almost : 0.8028725847128405, hour : 0.7014582422046489, since : 0.32267591571811516, getting : -0.08647558929838593, there : -0.6327836073639417"
16,6,16,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,eggplant parmasean,positive,negative,"the : 0.1599567509788442, eggplant : -0.1426398116386615, was : 0.6756384514067241, awesome : -0.4075389274394272, don : 1.01816170999211, even : 0.37380635437741094, like : 0.40025356483795693, eggplant : -0.1426398116386615, but : 2.041756649529249, my : -0.0024860046636431283, main : 0.31886196174840487, course : -0.011091552786787234, was : 0.6756384514067241, just : 0.16895411391100815, ok : -0.19045933965815257, shrimp : -0.6274265739340852, with : -1.066377583521574, pasta : 0.20984050017394107"
