,Unnamed: 0,text_id,term_id,text,term,polarity,example1_term_id,example1_prompt,example1_sim_score,example2_term_id,example2_prompt,example2_sim_score,example3_term_id,example3_prompt,example3_sim_score,polarity_pred,prompt_name,prompt
0,0,0,0,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",desserts,positive,9500,"Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}
",0.1527720081700538,5385,"Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}
",0.1622470119947581,1320,"Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}
",0.1669056390658843,positive,prompt_multi_term_fewshot,"Example 1:
Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}


Example 2:
Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}


Example 3
Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
1,1,0,1,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",dulce de leche ice-cream,neutral,9500,"Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}
",0.1527720081700538,5385,"Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}
",0.1622470119947581,1320,"Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}
",0.1669056390658843,positive,prompt_multi_term_fewshot,"Example 1:
Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}


Example 2:
Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}


Example 3
Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
2,2,0,2,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",chocolate sauce tic-tac-toe,neutral,9500,"Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}
",0.1527720081700538,5385,"Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}
",0.1622470119947581,1320,"Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}
",0.1669056390658843,positive,prompt_multi_term_fewshot,"Example 1:
Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}


Example 2:
Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}


Example 3
Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
3,3,0,3,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",poached pineapple,neutral,9500,"Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}
",0.1527720081700538,5385,"Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}
",0.1622470119947581,1320,"Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}
",0.1669056390658843,positive,prompt_multi_term_fewshot,"Example 1:
Input: ""Food is mediocre, except for Mushroom Custard and Foie Gras in Fire Ice.""
Terms: 
'Food'
'Mushroom Custard'

Output: {""term_sentiments"": [[""Food"", ""negative""], [""Mushroom Custard"", ""positive""]]}


Example 2:
Input: ""It was the WORST Sangria ever, and their house drink has just a shot of Malibu rum, and at a price of $9 you want more than a shot of a 40% alcohol.""
Terms: 
'Sangria'
'price'

Output: {""term_sentiments"": [[""Sangria"", ""negative""], [""price"", ""neutral""]]}


Example 3
Input: ""The overpriced ice cream is delicious but the service is atrocious - not only do I have to wait to be admitted into this ice cream joint, but the waiter is a snide, gruff man more suited to be a trucker than an ice cream shop server.""
Terms: 
'service'
'cream joint'
'cream shop server'

Output: {""term_sentiments"": [[""service"", ""negative""], [""cream joint"", ""neutral""], [""cream shop server"", ""neutral""]]}

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Terms: 
'desserts'
'dulce de leche ice-cream'
'chocolate sauce tic-tac-toe'
'poached pineapple'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
4,4,1,4,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,1211,"Input: ""The server also forgot about our dessert.""
Terms: 
'server'
'dessert'

Output: {""term_sentiments"": [[""server"", ""negative""], [""dessert"", ""neutral""]]}
",0.3540277474803411,8639,"Input: ""the 3rd however, the waiter forgot to put in our order for food and we ended up waiting an hour for them (b/c they were really busy).""
Terms: 
'waiter'
'food'
'waiting'

Output: {""term_sentiments"": [[""waiter"", ""negative""], [""food"", ""neutral""], [""waiting"", ""negative""]]}
",0.4108101793797334,10792,"Input: ""We waited an hour for our appetizers, (I suspect the waitress forgot to put in our order because the restaurant was not busy) and then the entrees came at the same time!""
Terms: 
'appetizers'
'waitress'
'entrees'

Output: {""term_sentiments"": [[""appetizers"", ""neutral""], [""waitress"", ""negative""], [""entrees"", ""neutral""]]}
",0.416744150206831,negative,prompt_multi_term_fewshot,"Example 1:
Input: ""The server also forgot about our dessert.""
Terms: 
'server'
'dessert'

Output: {""term_sentiments"": [[""server"", ""negative""], [""dessert"", ""neutral""]]}


Example 2:
Input: ""the 3rd however, the waiter forgot to put in our order for food and we ended up waiting an hour for them (b/c they were really busy).""
Terms: 
'waiter'
'food'
'waiting'

Output: {""term_sentiments"": [[""waiter"", ""negative""], [""food"", ""neutral""], [""waiting"", ""negative""]]}


Example 3
Input: ""We waited an hour for our appetizers, (I suspect the waitress forgot to put in our order because the restaurant was not busy) and then the entrees came at the same time!""
Terms: 
'appetizers'
'waitress'
'entrees'

Output: {""term_sentiments"": [[""appetizers"", ""neutral""], [""waitress"", ""negative""], [""entrees"", ""neutral""]]}

    
Task:
Input: The server was so busy the night we visited that she forgot to put in our food order.
Terms: 
'server'
'food'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
5,5,1,5,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,1211,"Input: ""The server also forgot about our dessert.""
Terms: 
'server'
'dessert'

Output: {""term_sentiments"": [[""server"", ""negative""], [""dessert"", ""neutral""]]}
",0.3540277474803411,8639,"Input: ""the 3rd however, the waiter forgot to put in our order for food and we ended up waiting an hour for them (b/c they were really busy).""
Terms: 
'waiter'
'food'
'waiting'

Output: {""term_sentiments"": [[""waiter"", ""negative""], [""food"", ""neutral""], [""waiting"", ""negative""]]}
",0.4108101793797334,10792,"Input: ""We waited an hour for our appetizers, (I suspect the waitress forgot to put in our order because the restaurant was not busy) and then the entrees came at the same time!""
Terms: 
'appetizers'
'waitress'
'entrees'

Output: {""term_sentiments"": [[""appetizers"", ""neutral""], [""waitress"", ""negative""], [""entrees"", ""neutral""]]}
",0.416744150206831,neutral,prompt_multi_term_fewshot,"Example 1:
Input: ""The server also forgot about our dessert.""
Terms: 
'server'
'dessert'

Output: {""term_sentiments"": [[""server"", ""negative""], [""dessert"", ""neutral""]]}


Example 2:
Input: ""the 3rd however, the waiter forgot to put in our order for food and we ended up waiting an hour for them (b/c they were really busy).""
Terms: 
'waiter'
'food'
'waiting'

Output: {""term_sentiments"": [[""waiter"", ""negative""], [""food"", ""neutral""], [""waiting"", ""negative""]]}


Example 3
Input: ""We waited an hour for our appetizers, (I suspect the waitress forgot to put in our order because the restaurant was not busy) and then the entrees came at the same time!""
Terms: 
'appetizers'
'waitress'
'entrees'

Output: {""term_sentiments"": [[""appetizers"", ""neutral""], [""waitress"", ""negative""], [""entrees"", ""neutral""]]}

    
Task:
Input: The server was so busy the night we visited that she forgot to put in our food order.
Terms: 
'server'
'food'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
6,6,2,6,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",dinner,neutral,10524,"Input: ""We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.""
Terms: 
'lunch'
'food'

Output: {""term_sentiments"": [[""lunch"", ""neutral""], [""food"", ""positive""]]}
",0.2188130544525763,10488,"Input: ""When I read some of the reviews in this section, I am not sure if they had diner in the same restaurant and also I would not be suprise if they decided to have their Branzino well done with butter on the side.""
Terms: 
'diner'
'butter'

Output: {""term_sentiments"": [[""diner"", ""neutral""], [""butter"", ""positive""]]}
",0.2383972488297631,9616,"Input: ""The hostess had us wait in the bar while our table was set up and we ordered what had to be the best mojitos in the city.""
Terms: 
'hostess'
'bar'
'mojitos'

Output: {""term_sentiments"": [[""hostess"", ""neutral""], [""bar"", ""neutral""], [""mojitos"", ""positive""]]}
",0.2651181967797207,neutral,prompt_multi_term_fewshot,"Example 1:
Input: ""We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.""
Terms: 
'lunch'
'food'

Output: {""term_sentiments"": [[""lunch"", ""neutral""], [""food"", ""positive""]]}


Example 2:
Input: ""When I read some of the reviews in this section, I am not sure if they had diner in the same restaurant and also I would not be suprise if they decided to have their Branzino well done with butter on the side.""
Terms: 
'diner'
'butter'

Output: {""term_sentiments"": [[""diner"", ""neutral""], [""butter"", ""positive""]]}


Example 3
Input: ""The hostess had us wait in the bar while our table was set up and we ordered what had to be the best mojitos in the city.""
Terms: 
'hostess'
'bar'
'mojitos'

Output: {""term_sentiments"": [[""hostess"", ""neutral""], [""bar"", ""neutral""], [""mojitos"", ""positive""]]}

    
Task:
Input: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.
Terms: 
'dinner'
'scene'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
7,7,2,7,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",scene,positive,10524,"Input: ""We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.""
Terms: 
'lunch'
'food'

Output: {""term_sentiments"": [[""lunch"", ""neutral""], [""food"", ""positive""]]}
",0.2188130544525763,10488,"Input: ""When I read some of the reviews in this section, I am not sure if they had diner in the same restaurant and also I would not be suprise if they decided to have their Branzino well done with butter on the side.""
Terms: 
'diner'
'butter'

Output: {""term_sentiments"": [[""diner"", ""neutral""], [""butter"", ""positive""]]}
",0.2383972488297631,9616,"Input: ""The hostess had us wait in the bar while our table was set up and we ordered what had to be the best mojitos in the city.""
Terms: 
'hostess'
'bar'
'mojitos'

Output: {""term_sentiments"": [[""hostess"", ""neutral""], [""bar"", ""neutral""], [""mojitos"", ""positive""]]}
",0.2651181967797207,positive,prompt_multi_term_fewshot,"Example 1:
Input: ""We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.""
Terms: 
'lunch'
'food'

Output: {""term_sentiments"": [[""lunch"", ""neutral""], [""food"", ""positive""]]}


Example 2:
Input: ""When I read some of the reviews in this section, I am not sure if they had diner in the same restaurant and also I would not be suprise if they decided to have their Branzino well done with butter on the side.""
Terms: 
'diner'
'butter'

Output: {""term_sentiments"": [[""diner"", ""neutral""], [""butter"", ""positive""]]}


Example 3
Input: ""The hostess had us wait in the bar while our table was set up and we ordered what had to be the best mojitos in the city.""
Terms: 
'hostess'
'bar'
'mojitos'

Output: {""term_sentiments"": [[""hostess"", ""neutral""], [""bar"", ""neutral""], [""mojitos"", ""positive""]]}

    
Task:
Input: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.
Terms: 
'dinner'
'scene'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
8,8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,4944,"Input: ""I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.""
Terms: 
'place'
'reservations'

Output: {""term_sentiments"": [[""place"", ""negative""], [""reservations"", ""neutral""]]}
",0.3172653696717129,10199,"Input: ""Went to dinner on a Friday night and the place was packed and hot.""
Terms: 
'dinner'
'place'

Output: {""term_sentiments"": [[""dinner"", ""neutral""], [""place"", ""negative""]]}
",0.3991980787006908,5945,"Input: ""The place was empty except for one table, but they were just having drinks (red flag #1).""
Terms: 
'place'
'table'
'drinks'

Output: {""term_sentiments"": [[""place"", ""negative""], [""table"", ""neutral""], [""drinks"", ""neutral""]]}
",0.4367933032593233,negative,prompt_multi_term_fewshot,"Example 1:
Input: ""I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.""
Terms: 
'place'
'reservations'

Output: {""term_sentiments"": [[""place"", ""negative""], [""reservations"", ""neutral""]]}


Example 2:
Input: ""Went to dinner on a Friday night and the place was packed and hot.""
Terms: 
'dinner'
'place'

Output: {""term_sentiments"": [[""dinner"", ""neutral""], [""place"", ""negative""]]}


Example 3
Input: ""The place was empty except for one table, but they were just having drinks (red flag #1).""
Terms: 
'place'
'table'
'drinks'

Output: {""term_sentiments"": [[""place"", ""negative""], [""table"", ""neutral""], [""drinks"", ""neutral""]]}

    
Task:
Input: My boyfriend and I went one Friday night to find that the place was empty except for one other table.
Terms: 
'place'
'table'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
9,9,3,9,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,table,neutral,4944,"Input: ""I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.""
Terms: 
'place'
'reservations'

Output: {""term_sentiments"": [[""place"", ""negative""], [""reservations"", ""neutral""]]}
",0.3172653696717129,10199,"Input: ""Went to dinner on a Friday night and the place was packed and hot.""
Terms: 
'dinner'
'place'

Output: {""term_sentiments"": [[""dinner"", ""neutral""], [""place"", ""negative""]]}
",0.3991980787006908,5945,"Input: ""The place was empty except for one table, but they were just having drinks (red flag #1).""
Terms: 
'place'
'table'
'drinks'

Output: {""term_sentiments"": [[""place"", ""negative""], [""table"", ""neutral""], [""drinks"", ""neutral""]]}
",0.4367933032593233,neutral,prompt_multi_term_fewshot,"Example 1:
Input: ""I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.""
Terms: 
'place'
'reservations'

Output: {""term_sentiments"": [[""place"", ""negative""], [""reservations"", ""neutral""]]}


Example 2:
Input: ""Went to dinner on a Friday night and the place was packed and hot.""
Terms: 
'dinner'
'place'

Output: {""term_sentiments"": [[""dinner"", ""neutral""], [""place"", ""negative""]]}


Example 3
Input: ""The place was empty except for one table, but they were just having drinks (red flag #1).""
Terms: 
'place'
'table'
'drinks'

Output: {""term_sentiments"": [[""place"", ""negative""], [""table"", ""neutral""], [""drinks"", ""neutral""]]}

    
Task:
Input: My boyfriend and I went one Friday night to find that the place was empty except for one other table.
Terms: 
'place'
'table'

Prompt: Analyze the sentiment of specific terms mentioned in a sentence. 
You are required to evaluate whether the sentiment towards each term is 'positive', 'negative', or 'neutral'. 
Return the final result as JSON in the format {""term_sentiments"": ""<a list of [term, sentiment] pairs>""}.
ONLY return the JSON."
